Inventory Number,Title,Note,Length,Width,Height,Weight,Seller Cost,Supplier,Bulbs Included,Bulb Type,Position,Attribute4Name,Partslink Number,OEM Number,Item SKU,Item SKU,
PLX-M0-20-9014-00-CL360A55,For Infiniti G35 Sedan Headlight 2007 2008 Pair Passenger and Driver Side,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: Headlight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: IN2502137, IN2503137<br>OEM Number: 26060-JK60C, 26010-JK60C<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",27.41,12.75,22.64,35.784,408.48,TYC,Yes,High Intensity Discharge (HID),Driver and Passenger Side,PARTSLINK Number,"IN2502137 , IN2503137",26060-JK60C,20-9014-00,20-9013-00,
PLX-M0-20-9016-00-1,For 2009-2011 Honda Pilot Headlight Driver and Passenger Side DOT w/Bulbs,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HO2518125, HO2519125<br>OEM Number: 33150-SZA-A01, 33100-SZA-A01<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",17.4,17.88,17.88,17.78,120.62,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HO2518125 , HO2519125",33150-SZA-A01,20-9016-00,20-9015-00,
PLX-M0-20-9016-00-1-CL360A1,For 2009-2011 Honda Pilot Headlight Driver & Passenger Side Pair DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HO2518125, HO2519125<br>OEM Number: 33150-SZA-A01, 33100-SZA-A01<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",17.4,17.88,17.88,17.78,120.62,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HO2518125 , HO2519125",33150-SZA-A01,20-9016-00,20-9015-00,
PLX-M0-20-9016-00-9,For 2009-2011 Honda Pilot Headlight Driver and Passenger Side CAPA w/Bulbs,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HO2518125, HO2519125<br>OEM Number: 33150-SZA-A01, 33100-SZA-A01<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",17.4,17.88,17.88,18.94,189.64,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HO2518125 , HO2519125",33150-SZA-A01,20-9016-00-9,20-9015-00-9,
PLX-M0-20-9016-00-CL360A55,For Honda Pilot Headlight 2009-2011 Pair Driver and Passenger Side HO2518125,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: Headlight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HO2518125, HO2519125<br>OEM Number: 33150-SZA-A01, 33100-SZA-A01<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",21.93,17.4,17.88,17.78,134.06,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HO2518125 , HO2519125",33150-SZA-A01,20-9016-00,20-9015-00,
PLX-M0-20-9018-00-1,For 2008 2009 Subaru Legacy Headlight Driver and Passenger w/Bulbs DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502130, SU2503130<br>OEM Number: 84001AG51B, 84001AG50B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.34,185.22,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502130 , SU2503130",84001AG51B,20-9018-00,20-9017-00,
PLX-M0-20-9018-00-1-CL360A1,For 2008 2009 Subaru Legacy Headlight Driver & Passenger Side Pair DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502130, SU2503130<br>OEM Number: 84001AG51B, 84001AG50B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.34,185.22,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502130 , SU2503130",84001AG51B,20-9018-00,20-9017-00,
PLX-M0-20-9018-00-9,For 2008 2009 Subaru Legacy Headlight Driver and Passenger w/Bulbs CAPA,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502130, SU2503130<br>OEM Number: 84001AG51B, 84001AG50B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.6,210,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502130 , SU2503130",84001AG51B,20-9018-00-9,20-9017-00-9,
PLX-M0-20-9018-00-9-CL360A1,For 2008 2009 Subaru Legacy Headlight Driver & Passenger Side Pair CAPA,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502130, SU2503130<br>OEM Number: 84001AG51B, 84001AG50B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.6,210,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502130 , SU2503130",84001AG51B,20-9018-00-9,20-9017-00-9,
PLX-M0-20-9018-00-CL360A55,For Subaru Legacy Headlight 2008 2009 Pair Driver and Passenger Side SU2502130,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: Headlight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502130, SU2503130<br>OEM Number: 84001AG51B, 84001AG50B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",23.12,11.56,16.92,15.34,203.94,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502130 , SU2503130",84001AG51B,20-9018-00,20-9017-00,
PLX-M0-20-9018-90-1,For 2008 2009 Subaru Outback Headlight Driver and Passenger Side DOT w/ Bulbs,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502133, SU2503133<br>OEM Number: 84001AG53B, 84001AG52B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.34,115.6,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502133 , SU2503133",84001AG53B,20-9018-90,20-9017-90,
PLX-M0-20-9018-90-1-CL360A1,For 2008 2009 Subaru Outback Headlight Driver and Passenger Side DOT SU2502133,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502133, SU2503133<br>OEM Number: 84001AG53B, 84001AG52B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.34,115.6,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502133 , SU2503133",84001AG53B,20-9018-90,20-9017-90,
PLX-M0-20-9018-90-9,For 2008 2009 Subaru Outback Headlight Driver and Passenger Side CAPA SU2502133,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502133, SU2503133<br>OEM Number: 84001AG53B, 84001AG52B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.6,127.28,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502133 , SU2503133",84001AG53B,20-9018-90-9,20-9017-90-9,
PLX-M0-20-9018-90-9-CL360A1,For 2008 2009 Subaru Outback Headlight Driver & Passenger Side - CAPA SU2502133,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502133, SU2503133<br>OEM Number: 84001AG53B, 84001AG52B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",11.56,16.92,16.92,15.6,127.28,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502133 , SU2503133",84001AG53B,20-9018-90-9,20-9017-90-9,
PLX-M0-20-9018-90-CL360A55,For Subaru Outback Headlight 2008 2009 Pair Driver and Passenger Side SU2502133,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: Headlight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: SU2502133, SU2503133<br>OEM Number: 84001AG53B, 84001AG52B<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",23.12,11.56,16.92,15.34,123.56,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"SU2502133 , SU2503133",84001AG53B,20-9018-90,20-9017-90,
PLX-M0-20-9020-00-1,For 2008-2010 Jeep Grand Cherokee Headlight Driver and Passenger Side DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: CH2518131, CH2519131<br>OEM Number: 55157483AE, 55157482AE<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",16.45,20.5,21.46,16.28,78.48,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"CH2518131 , CH2519131",55157483AE,20-9020-00,20-9019-00,
PLX-M0-20-9020-00-1-CL360A1,For 2008-2010 Jeep Grand Cherokee Headlight Driver & Passenger Side Pair DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: CH2518131, CH2519131<br>OEM Number: 55157483AE, 55157482AE<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",16.45,20.5,21.46,16.28,78.48,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"CH2518131 , CH2519131",55157483AE,20-9020-00,20-9019-00,
PLX-M0-20-9020-00-9,For 2008-2010 Jeep Grand Cherokee Headlight Pair CAPA Certified w/ Bulbs,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: CH2518131, CH2519131<br>OEM Number: 55157483AE, 55157482AE<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",16.45,20.5,21.46,16.36,119.22,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"CH2518131 , CH2519131",55157483AE,20-9020-00-9,20-9019-00-9,
PLX-M0-20-9020-00-CL360A55,For Jeep Grand Cherokee Headlight 2008 2009 2010 Pair Driver and Passenger Side,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: Headlight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: CH2518131, CH2519131<br>OEM Number: 55157483AE, 55157482AE<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",20.5,16.45,21.46,16.28,113.38,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"CH2518131 , CH2519131",55157483AE,20-9020-00,20-9019-00,
PLX-M0-20-9022-00-1,For 2009-2011 Honda FIT Headlight Driver and Passenger Side DOT w/Bulbs,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HO2502137, HO2503137<br>OEM Number: 33150-TK6-A11, 33100-TK6-A11<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",15.26,21.92,22.4,20.2,129.62,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HO2502137 , HO2503137",33150-TK6-A11,20-9022-00-9,20-9021-00-9,
